"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Virginia","51","2018","2018",1212,8517685,14.2,13.4,15.0
,"Virginia","51","2019","2019",1284,8535519,15.0,14.2,15.9
,"Virginia","51","2020","2020",1917,8590563,22.3,21.3,23.3
,"Virginia","51","2021","2021",2249,8642274,26.0,24.9,27.1
,"Virginia","51","2022","2022",2123,8683619,24.4,23.4,25.5
,"Virginia","51","2023","2023",2101,8715698,24.1,23.1,25.1
,"Virginia","51","2024 ","2024",1184,8811195,13.4,12.7,14.2
"Total","Virginia","51",,,12070,60496553,20.0,19.6,20.3
,"Washington","53","2018","2018",767,7535591,10.2,9.5,10.9
,"Washington","53","2019","2019",853,7614893,11.2,10.4,12.0
,"Washington","53","2020","2020",1221,7693612,15.9,15.0,16.8
,"Washington","53","2021","2021",1658,7738692,21.4,20.4,22.5
,"Washington","53","2022","2022",2137,7785786,27.4,26.3,28.6
,"Washington","53","2023","2023",2906,7812880,37.2,35.8,38.5
,"Washington","53","2024 ","2024",2547,7958180,32.0,30.8,33.2
"Total","Washington","53",,,12089,54139634,22.3,21.9,22.7
,"West Virginia","54","2018","2018",739,1805832,40.9,38.0,43.9
,"West Virginia","54","2019","2019",704,1792147,39.3,36.4,42.2
,"West Virginia","54","2020","2020",1179,1784787,66.1,62.3,69.8
,"West Virginia","54","2021","2021",1298,1782959,72.8,68.8,76.8
,"West Virginia","54","2022","2022",1194,1775156,67.3,63.4,71.1
,"West Virginia","54","2023","2023",1246,1770071,70.4,66.5,74.3
,"West Virginia","54","2024 ","2024",675,1769979,38.1,35.3,41.0
"Total","West Virginia","54",,,7035,12480931,56.4,55.0,57.7
,"Wisconsin","55","2018","2018",862,5813568,14.8,13.8,15.8
,"Wisconsin","55","2019","2019",938,5822434,16.1,15.1,17.1
,"Wisconsin","55","2020","2020",1270,5832655,21.8,20.6,23.0
,"Wisconsin","55","2021","2021",1458,5895908,24.7,23.5,26.0
,"Wisconsin","55","2022","2022",1445,5892539,24.5,23.3,25.8
,"Wisconsin","55","2023","2023",1438,5910955,24.3,23.1,25.6
,"Wisconsin","55","2024 ","2024",830,5960975,13.9,13.0,14.9
"Total","Wisconsin","55",,,8241,41129034,20.0,19.6,20.5
